fly	phase	day	lengths
fly_21	Night	1	21
fly_21	Night	1	340
fly_22	Night	1	22
fly_22	Night	1	7
fly_22	Night	1	10
fly_22	Night	1	13
fly_22	Night	1	18
fly_22	Night	1	13
fly_22	Night	1	11
fly_22	Night	1	26
fly_22	Night	1	18
fly_22	Night	1	5
fly_22	Night	1	12
fly_22	Night	1	7
fly_22	Night	1	13
fly_22	Night	1	7
fly_22	Night	1	10
fly_22	Night	1	15
fly_22	Night	1	8
fly_22	Night	1	24
fly_22	Night	1	39
fly_22	Night	1	49
fly_22	Night	1	45
fly_22	Night	1	220
fly_23	Night	1	8
fly_23	Night	1	5
fly_23	Night	1	5
fly_23	Night	1	9
fly_23	Night	1	6
fly_23	Night	1	5
fly_23	Night	1	13
fly_23	Night	1	5
fly_23	Night	1	13
fly_23	Night	1	7
fly_23	Night	1	8
fly_23	Night	1	13
fly_23	Night	1	17
fly_23	Night	1	9
fly_23	Night	1	11
fly_23	Night	1	16
fly_23	Night	1	18
fly_23	Night	1	8
fly_23	Night	1	344
fly_24	Night	1	8
fly_24	Night	1	5
fly_24	Night	1	6
fly_24	Night	1	8
fly_24	Night	1	8
fly_24	Night	1	10
fly_24	Night	1	26
fly_24	Night	1	409
fly_25	Night	1	5
fly_25	Night	1	6
fly_25	Night	1	7
fly_25	Night	1	5
fly_25	Night	1	9
fly_25	Night	1	6
fly_25	Night	1	14
fly_25	Night	1	8
fly_25	Night	1	12
fly_25	Night	1	8
fly_25	Night	1	35
fly_25	Night	1	18
fly_25	Night	1	6
fly_25	Night	1	291
fly_25	Night	1	9
fly_25	Night	1	42
fly_26	Night	1	5
fly_26	Night	1	8
fly_26	Night	1	5
fly_26	Night	1	6
fly_26	Night	1	7
fly_26	Night	1	6
fly_26	Night	1	9
fly_26	Night	1	16
fly_26	Night	1	13
fly_26	Night	1	13
fly_26	Night	1	22
fly_26	Night	1	336
fly_28	Night	1	11
fly_28	Night	1	8
fly_28	Night	1	5
fly_28	Night	1	21
fly_28	Night	1	5
fly_28	Night	1	14
fly_28	Night	1	18
fly_28	Night	1	27
fly_28	Night	1	11
fly_28	Night	1	38
fly_28	Night	1	75
fly_28	Night	1	76
fly_28	Night	1	301
fly_29	Night	1	7
fly_29	Night	1	7
fly_29	Night	1	11
fly_29	Night	1	5
fly_29	Night	1	10
fly_29	Night	1	7
fly_29	Night	1	5
fly_29	Night	1	7
fly_29	Night	1	11
fly_29	Night	1	20
fly_29	Night	1	36
fly_29	Night	1	17
fly_29	Night	1	18
fly_29	Night	1	6
fly_29	Night	1	336
fly_30	Night	1	5
fly_30	Night	1	9
fly_30	Night	1	8
fly_30	Night	1	8
fly_30	Night	1	7
fly_30	Night	1	7
fly_30	Night	1	12
fly_30	Night	1	18
fly_30	Night	1	9
fly_30	Night	1	10
fly_30	Night	1	55
fly_30	Night	1	15
fly_30	Night	1	31
fly_30	Night	1	108
fly_30	Night	1	64
fly_30	Night	1	44
fly_30	Night	1	7
fly_30	Night	1	23
fly_31	Night	1	7
fly_31	Night	1	5
fly_31	Night	1	6
fly_31	Night	1	7
fly_31	Night	1	7
fly_31	Night	1	5
fly_31	Night	1	9
fly_31	Night	1	9
fly_31	Night	1	6
fly_31	Night	1	7
fly_31	Night	1	18
fly_31	Night	1	5
fly_31	Night	1	34
fly_31	Night	1	12
fly_31	Night	1	319
fly_32	Night	1	7
fly_32	Night	1	5
fly_32	Night	1	5
fly_32	Night	1	5
fly_32	Night	1	6
fly_32	Night	1	7
fly_32	Night	1	5
fly_32	Night	1	9
fly_32	Night	1	11
fly_32	Night	1	10
fly_32	Night	1	8
fly_32	Night	1	14
fly_32	Night	1	9
fly_32	Night	1	11
fly_32	Night	1	5
fly_32	Night	1	15
fly_32	Night	1	86
fly_32	Night	1	20
fly_32	Night	1	33
fly_32	Night	1	105
fly_32	Night	1	125
fly_01	Night	2	1
fly_01	Night	2	5
fly_01	Night	2	6
fly_01	Night	2	5
fly_01	Night	2	6
fly_01	Night	2	20
fly_01	Night	2	36
fly_01	Night	2	19
fly_01	Night	2	7
fly_01	Night	2	5
fly_01	Night	2	6
fly_01	Night	2	383
fly_02	Night	2	6
fly_02	Night	2	10
fly_02	Night	2	17
fly_02	Night	2	73
fly_02	Night	2	382
fly_03	Night	2	1
fly_03	Night	2	14
fly_03	Night	2	14
fly_03	Night	2	19
fly_03	Night	2	5
fly_03	Night	2	7
fly_03	Night	2	12
fly_03	Night	2	479
fly_04	Night	2	5
fly_04	Night	2	5
fly_04	Night	2	8
fly_04	Night	2	5
fly_04	Night	2	16
fly_04	Night	2	12
fly_04	Night	2	505
fly_05	Night	2	5
fly_05	Night	2	7
fly_05	Night	2	7
fly_05	Night	2	8
fly_05	Night	2	5
fly_05	Night	2	10
fly_05	Night	2	436
fly_06	Night	2	6
fly_06	Night	2	12
fly_06	Night	2	9
fly_06	Night	2	5
fly_06	Night	2	7
fly_06	Night	2	13
fly_06	Night	2	25
fly_06	Night	2	5
fly_06	Night	2	12
fly_06	Night	2	14
fly_06	Night	2	60
fly_06	Night	2	361
fly_07	Night	2	6
fly_07	Night	2	11
fly_07	Night	2	13
fly_07	Night	2	21
fly_07	Night	2	35
fly_07	Night	2	497
fly_08	Night	2	5
fly_08	Night	2	8
fly_08	Night	2	5
fly_08	Night	2	6
fly_08	Night	2	12
fly_08	Night	2	10
fly_08	Night	2	155
fly_08	Night	2	10
fly_08	Night	2	60
fly_08	Night	2	94
fly_08	Night	2	13
fly_08	Night	2	143
fly_09	Night	2	8
fly_09	Night	2	5
fly_09	Night	2	8
fly_09	Night	2	191
fly_09	Night	2	304
fly_10	Night	2	5
fly_10	Night	2	5
fly_10	Night	2	15
fly_10	Night	2	21
fly_10	Night	2	83
fly_10	Night	2	126
fly_10	Night	2	240
fly_11	Night	2	11
fly_11	Night	2	29
fly_11	Night	2	460
fly_12	Night	2	7
fly_12	Night	2	9
fly_12	Night	2	10
fly_12	Night	2	15
fly_12	Night	2	521
fly_13	Night	2	14
fly_13	Night	2	8
fly_13	Night	2	12
fly_13	Night	2	5
fly_13	Night	2	181
fly_13	Night	2	274
fly_14	Night	2	8
fly_14	Night	2	5
fly_14	Night	2	7
fly_14	Night	2	12
fly_14	Night	2	16
fly_14	Night	2	10
fly_14	Night	2	6
fly_14	Night	2	11
fly_14	Night	2	8
fly_14	Night	2	8
fly_14	Night	2	194
fly_14	Night	2	14
fly_14	Night	2	9
fly_14	Night	2	238
fly_15	Night	2	10
fly_15	Night	2	7
fly_15	Night	2	6
fly_15	Night	2	13
fly_15	Night	2	6
fly_15	Night	2	6
fly_15	Night	2	51
fly_15	Night	2	82
fly_15	Night	2	20
fly_15	Night	2	280
fly_16	Night	2	5
fly_16	Night	2	16
fly_16	Night	2	5
fly_16	Night	2	8
fly_16	Night	2	5
fly_16	Night	2	5
fly_16	Night	2	14
fly_16	Night	2	47
fly_16	Night	2	5
fly_16	Night	2	6
fly_16	Night	2	28
fly_16	Night	2	37
fly_16	Night	2	12
fly_16	Night	2	8
fly_16	Night	2	32
fly_16	Night	2	6
fly_16	Night	2	270
fly_17	Night	2	2
fly_17	Night	2	5
fly_17	Night	2	15
fly_17	Night	2	15
fly_17	Night	2	15
fly_17	Night	2	14
fly_17	Night	2	6
fly_17	Night	2	8
fly_17	Night	2	52
fly_17	Night	2	9
fly_17	Night	2	9
fly_17	Night	2	21
fly_17	Night	2	340
fly_18	Night	2	12
fly_18	Night	2	5
fly_18	Night	2	8
fly_18	Night	2	16
fly_18	Night	2	15
fly_18	Night	2	24
fly_18	Night	2	5
fly_18	Night	2	18
fly_18	Night	2	18
fly_18	Night	2	17
fly_18	Night	2	14
fly_18	Night	2	364
fly_19	Night	2	6
fly_19	Night	2	8
fly_19	Night	2	8
fly_19	Night	2	20
fly_19	Night	2	6
fly_19	Night	2	5
fly_19	Night	2	38
fly_19	Night	2	209
fly_19	Night	2	41
fly_19	Night	2	24
fly_19	Night	2	196
fly_19	Night	2	7
fly_20	Night	2	6
fly_20	Night	2	9
fly_20	Night	2	16
fly_20	Night	2	20
fly_20	Night	2	21
fly_20	Night	2	15
fly_20	Night	2	436
fly_21	Night	2	5
fly_21	Night	2	7
fly_21	Night	2	9
fly_21	Night	2	15
fly_21	Night	2	57
fly_21	Night	2	9
fly_21	Night	2	8
fly_21	Night	2	38
fly_21	Night	2	343
fly_22	Night	2	6
fly_22	Night	2	7
fly_22	Night	2	6
fly_22	Night	2	6
fly_22	Night	2	7
fly_22	Night	2	5
fly_22	Night	2	14
fly_22	Night	2	9
fly_22	Night	2	11
fly_22	Night	2	28
fly_22	Night	2	16
fly_22	Night	2	20
fly_22	Night	2	17
fly_22	Night	2	419
fly_23	Night	2	10
fly_23	Night	2	16
fly_23	Night	2	6
fly_23	Night	2	11
fly_23	Night	2	14
fly_23	Night	2	479
fly_24	Night	2	6
fly_24	Night	2	6
fly_24	Night	2	8
fly_24	Night	2	7
fly_24	Night	2	8
fly_24	Night	2	8
fly_24	Night	2	21
fly_24	Night	2	6
fly_24	Night	2	112
fly_24	Night	2	339
fly_25	Night	2	6
fly_25	Night	2	8
fly_25	Night	2	5
fly_25	Night	2	13
fly_25	Night	2	12
fly_25	Night	2	508
fly_26	Night	2	6
fly_26	Night	2	6
fly_26	Night	2	8
fly_26	Night	2	12
fly_26	Night	2	49
fly_26	Night	2	454
fly_28	Night	2	5
fly_28	Night	2	9
fly_28	Night	2	7
fly_28	Night	2	6
fly_28	Night	2	10
fly_28	Night	2	6
fly_28	Night	2	8
fly_28	Night	2	21
fly_28	Night	2	153
fly_28	Night	2	344
fly_29	Night	2	5
fly_29	Night	2	5
fly_29	Night	2	5
fly_29	Night	2	12
fly_29	Night	2	10
fly_29	Night	2	13
fly_29	Night	2	8
fly_29	Night	2	6
fly_29	Night	2	497
fly_30	Night	2	5
fly_30	Night	2	5
fly_30	Night	2	10
fly_30	Night	2	48
fly_30	Night	2	18
fly_30	Night	2	15
fly_30	Night	2	58
fly_30	Night	2	360
fly_31	Night	2	6
fly_31	Night	2	16
fly_31	Night	2	20
fly_31	Night	2	11
fly_31	Night	2	114
fly_31	Night	2	15
fly_31	Night	2	16
fly_31	Night	2	199
fly_31	Night	2	14
fly_31	Night	2	21
fly_31	Night	2	49
fly_32	Night	2	5
fly_32	Night	2	6
fly_32	Night	2	18
fly_32	Night	2	5
fly_32	Night	2	6
fly_32	Night	2	536
fly_01	Night	3	720
fly_02	Night	3	6
fly_02	Night	3	5
fly_02	Night	3	10
fly_02	Night	3	5
fly_02	Night	3	28
fly_02	Night	3	26
fly_02	Night	3	20
fly_02	Night	3	17
fly_02	Night	3	391
fly_03	Night	3	6
fly_03	Night	3	7
fly_03	Night	3	7
fly_03	Night	3	25
fly_03	Night	3	61
fly_03	Night	3	21
fly_03	Night	3	7
fly_03	Night	3	11
fly_03	Night	3	65
fly_03	Night	3	319
fly_04	Night	3	5
fly_04	Night	3	13
fly_04	Night	3	17
fly_04	Night	3	8
fly_04	Night	3	17
fly_04	Night	3	10
fly_04	Night	3	508
fly_05	Night	3	5
fly_05	Night	3	6
fly_05	Night	3	5
fly_05	Night	3	13
fly_05	Night	3	22
fly_05	Night	3	51
fly_05	Night	3	45
fly_05	Night	3	370
fly_06	Night	3	5
fly_06	Night	3	34
fly_06	Night	3	34
fly_06	Night	3	23
fly_06	Night	3	8
fly_06	Night	3	17
fly_06	Night	3	414
fly_07	Night	3	7
fly_07	Night	3	5
fly_07	Night	3	20
fly_07	Night	3	13
fly_07	Night	3	17
fly_07	Night	3	525
fly_08	Night	3	6
fly_08	Night	3	27
fly_08	Night	3	7
fly_08	Night	3	243
fly_08	Night	3	10
fly_08	Night	3	18
fly_08	Night	3	243
fly_09	Night	3	6
fly_09	Night	3	11
fly_09	Night	3	41
fly_09	Night	3	13
fly_09	Night	3	435
fly_10	Night	3	8
fly_10	Night	3	12
fly_10	Night	3	509
fly_11	Night	3	6
fly_11	Night	3	5
fly_11	Night	3	5
fly_11	Night	3	9
fly_11	Night	3	10
fly_11	Night	3	9
fly_11	Night	3	459
fly_12	Night	3	8
fly_12	Night	3	8
fly_12	Night	3	7
fly_12	Night	3	7
fly_12	Night	3	14
fly_12	Night	3	520
fly_13	Night	3	6
fly_13	Night	3	15
fly_13	Night	3	9
fly_13	Night	3	32
fly_13	Night	3	69
fly_13	Night	3	74
fly_13	Night	3	5
fly_13	Night	3	314
fly_14	Night	3	5
fly_14	Night	3	9
fly_14	Night	3	5
fly_14	Night	3	13
fly_14	Night	3	7
